# Wordlist

# DATA
ID	DOCULECT	GLOSS_IN_SOURCE	CONCEPT	IPA	TOKENS	ALMS	NOTE	BORROWING	CHINESE	COGID	COGS	HANZI	MORPHEME_STRUCTURE	ALIGNMENT	CONSENSUS
#
33178	TibetoKinauriByangsi	1sg, I, me	I [first person singular]	je	j/dʒ e	- - - - - j/dʒ e -				799				- - - - - - j/dʒ e -	g a
16954	JingphoJingpho	I	I [first person singular]	ŋai³³	ŋ a i ³³	ŋ - a i ³³ - - -				327				ŋ a - i ³³	ŋ a
17100	DengYidu	I	I [first person singular]	ŋɑ³⁵	ŋ ɑ ³⁵	ŋ - ɑ - ³⁵ - - -				327				ŋ ɑ - - ³⁵	ŋ a
17115	BodicTshangla	I	I [first person singular]	dʑaŋ	dʑ a ŋ	- - - - - dʑ a ŋ				10390				dʑ a ŋ	dʑaŋ
33630	KirantiKulung	I (pron.)	I [first person singular]	kɔN	k ɔ ŋ	k ɔ ŋ -	Nepali: ma. (Tolsma1999)			611				k ɔ ŋ	ʔ ɔ ŋ
33951	KirantiBantawa		I [first person singular]	ɨŋka	ɨ ŋ k a	( ɨ ŋ ) k a - ( - - - - )				799				ɨ ŋ k a - - - - -	g a
32978	TibetoKinauriBunan	I	I [first person singular]	gi	g i	( - - ) g i - ( - - - - )				799				- - g i - - - - -	g a
17972	rGyalrongMaerkang	I	I [first person singular]	ŋɑ	ŋ ɑ	ŋ - ɑ - - - - -				327				ŋ ɑ - - -	ŋ a
34933	BurmishRangoon	I	I [first person singular]	ŋɑ²²	ŋ ɑ ²²	ŋ - ɑ - ²² - - -				327	91		me	ŋ ɑ - - ²²	ŋ a
34997	BurmishAtsi	I	I [first person singular]	ŋo⁵¹	ŋ o ⁵¹	ŋ - o - ⁵¹ - - -				327	91		I-me	ŋ o - - ⁵¹	ŋ a
35074	BurmishMaru	I	I [first person singular]	ŋɔ³¹	ŋ ɔ ³¹	ŋ - ɔ - ³¹ - - -				327	91		me	ŋ ɔ - - ³¹	ŋ a
35140	BurmishLashi	I	I [first person singular]	ŋo³¹	ŋ o ³¹	ŋ - o - ³¹ - - -				327	91		me	ŋ o - - ³¹	ŋ a
35186	BurmishXiandao	I	I [first person singular]	ŋɔ⁵⁵	ŋ ɔ ⁵⁵	ŋ - ɔ - ⁵⁵ - - -				327	91		I-me	ŋ ɔ - - ⁵⁵	ŋ a
35239	BurmishBola	I	I [first person singular]	ŋa⁵⁵	ŋ a ⁵⁵	ŋ - a - ⁵⁵ - - -				327	91		I-me	ŋ a - - ⁵⁵	ŋ a
35419	BurmishAchang	I	I [first person singular]	ŋɔ⁵⁵	ŋ ɔ ⁵⁵	ŋ - ɔ - ⁵⁵ - - -				327	91		I-me	ŋ ɔ - - ⁵⁵	ŋ a
