# Wordlist

# DATA
ID	DOCULECT	GLOSS_IN_SOURCE	CONCEPT	IPA	TOKENS	ALMS	NOTE	BORROWING	CHINESE	COGID	COGS	HANZI	MORPHEME_STRUCTURE
#
16954	JingphoJingpho	I	I [first person singular]	ŋai³³	ŋ a i ³³	ŋ - a i ³³ - - -				327			
17100	DengYidu	I	I [first person singular]	ŋɑ³⁵	ŋ ɑ ³⁵	ŋ - ɑ - ³⁵ - - -				327			
17115	BodicTshangla	I	I [first person singular]	dʑaŋ	dʑ a ŋ	- - - - - dʑ a ŋ				10390			
33630	KirantiKulung	I (pron.)	I [first person singular]	kɔN	k ɔ ŋ	k ɔ ŋ -	Nepali: ma. (Tolsma1999)			29760			
33951	KirantiBantawa		I [first person singular]	ɨŋka	ɨ ŋ k a	( ɨ ŋ ) k a - ( - - - - )				29722			
32978	TibetoKinauriBunan	I	I [first person singular]	gi	g i	( - - ) g i - ( - - - - )				799			
17972	rGyalrongMaerkang	I	I [first person singular]	ŋɑ	ŋ ɑ	ŋ - ɑ - - - - -				327			
34933	BurmishRangoon	I	I [first person singular]	ŋɑ²²	ŋ ɑ ²²	ŋ - ɑ - ²² - - -				327	91		me
33178	TibetoKinauriByangsi	1sg, I, me	I [first person singular]	je	j/dʒ e	- - - - - j/dʒ e -				799			
19223	rGyalrongDaofu	I	I [first person singular]	ŋa	ŋ a	ŋ - a - - - - -				327			
35711	KirantiBahing	I (pron)	I [first person singular]	gu	g u	( - - ) g u - ( - - - - )				799			
35900	MizoLushai	I	I [first person singular]	ka	k a	( - - ) k a - ( - - - - )	Lushai also has kei 'I', kei-ma 'I'			29721			
36176	SiniticBeijing	I (first person singular)	I [first person singular]	wɔ²¹⁴	w ɔ ²¹⁴	- w ɔ - ²¹⁴ - - -			我	327	135	我	I-135
19683	NungicDulong	I	I [first person singular]	ŋɑ⁵³	ŋ ɑ ⁵³	ŋ - ɑ - ⁵³ - - -				327			
36180	SiniticJieyang		I [first person singular]	ua³¹	u a ³¹	- u a - ³¹ - - -				327	135	我	I-135
36181	SiniticXingning		I [first person singular]	ŋai²⁴	ŋ a i ²⁴	ŋ - a i ²⁴ - - -				327	135	囗	I-12
19921	TibetanBatang	I	I [first person singular]	ŋa²³¹	ŋ a ²³¹	ŋ - a - ²³¹ - - -				327			
36177	SiniticGuangzhou	I (first person singular)	I [first person singular]	ŋɔ²³	ŋ ɔ ²³	ŋ - ɔ - ²³ - - -	should have *-i.LS	< MC	我	29978	135	我	I-135
37553	NagaUkhrul	1sg, I, me	I [first person singular]	ʔi	ʔ i	ʔ i				2029			
37758	KirantiHayu	my, me (pron po)	I [first person singular]	aŋ	a ŋ	- a ŋ -				10388			
37759	KirantiHayu	I, me, we, us (pron (1)	I [first person singular]	gu	g u	( - - ) g u - ( - - - - )				799			
5054	TibetanOldTibetan	I	I [first person singular]	ŋa	ŋ a	ŋ - a - - - - -			我	327		吾	
5068	KirantiLimbu	I	I [first person singular]	iŋga	i ŋ g a	( i ŋ ) g a - ( - - - - )			我	29722		吾	
5083	rGyalrongJaphug	I	I [first person singular]	aʑo	a ʑ o	- - a - - ʑ o -			我	327		吾	
5087	Tangut	I	I [first person singular]	ŋa²	ŋ a ²				我	327		吾	
36178	SiniticChaozhou		I [first person singular]	ua⁵³	u a ⁵³	- u a - ⁵³ - - -				327	135	我	I-135
38041	Tangut		I [first person singular]	mjo	m jo					105		我	
38357	Karbi		I [first person singular]	ne	n e		from :cite:Walker1925<br>page in :cite:Walker1925 307			10389			
38596	Rabha	I	I [first person singular]	aŋ	a ŋ					10388			
22525	TibetanXiahe	I	I [first person singular]	ŋa	ŋ a	ŋ - a - - - - -				327			
31082	BurmishOldBurmese		I [first person singular]	ṅā	ṅ ā	ṅ - ā - - - - -				327			
23977	DengDarangTaraon	I	I [first person singular]	xɑŋ³⁵	x ɑ ŋ ³⁵	x ɑ ŋ ³⁵				10387			
24331	LoloishLisu	I	I [first person singular]	ŋuɑ³³	ŋ u ɑ ³³	ŋ u ɑ - ³³ - - -				327			
24581	TibetanLhasa	I	I [first person singular]	ŋa¹³	ŋ a ¹³	ŋ - a - ¹³ - - -				327			
24693	TibetanAlike	I	I [first person singular]	ŋæ	ŋ æ	ŋ - æ - - - - -				327			
32746	ChinHakha	I (pron.)	I [first person singular]	keimah	k à y + m a ʔ	( - - ) k à y ( + m a ʔ )				29721			
36179	SiniticLonggang		I [first person singular]	ŋai²¹	ŋ a i ²¹	ŋ - a i ²¹ - - -				327	135	囗	I-12
31651	KhroskyabsWobzi		I [first person singular]	ŋô	ŋ ô	ŋ - ô - - - - -				327			
35239	BurmishBola	I	I [first person singular]	ŋa⁵⁵	ŋ a ⁵⁵	ŋ - a - ⁵⁵ - - -				327	91		I-me
23725	TaniBokar	I	I [first person singular]	ŋoː	ŋ oː	ŋ - oː - - - - -				327			
34997	BurmishAtsi	I	I [first person singular]	ŋo⁵¹	ŋ o ⁵¹	ŋ - o - ⁵¹ - - -				327	91		I-me
35074	BurmishMaru	I	I [first person singular]	ŋɔ³¹	ŋ ɔ ³¹	ŋ - ɔ - ³¹ - - -				327	91		me
5067	KirantiKhaling	I	I [first person singular]	ʔûŋ	ʔ u ŋ	ʔ u ŋ -			我	29761		吾	
35140	BurmishLashi	I	I [first person singular]	ŋo³¹	ŋ o ³¹	ŋ - o - ³¹ - - -				327	91		me
30885	SiniticOldChinese		I [first person singular]	ŋˤa	ŋˤ a	ŋˤ - a - - - - -			我	327		吾	I-1323
35186	BurmishXiandao	I	I [first person singular]	ŋɔ⁵⁵	ŋ ɔ ⁵⁵	ŋ - ɔ - ⁵⁵ - - -				327	91		I-me
31913	ChepangChepang	I	I [first person singular]	ʔa	ʔ a	ʔ a				3835			
31914	ChepangChepang	I	I [first person singular]	ŋa	ŋ a	ŋ - a - - - - -				327			
21719	QiangicZhaba	I	I [first person singular]	ŋa¹³	ŋ a ¹³	ŋ - a - ¹³ - - -				327			
32168	GaroGaro	I (pro)	I [first person singular]	aŋ-a	a ŋ  a	a ŋ   a				10388			
35419	BurmishAchang	I	I [first person singular]	ŋɔ⁵⁵	ŋ ɔ ⁵⁵	ŋ - ɔ - ⁵⁵ - - -				327	91		I-me
32394	KirantiThulung		I [first person singular]	go	g o	( - - ) g o - ( - - - - )				799			
#
33183	TibetoKinauriByangsi	big	big	poda	p o d a	p o d a				331			
549	TibetanOldTibetan	big	big	tɕʰe-	tɕʰ e	- - - - tɕʰ e - - ( - - - - - )			大	412		大	
562	KirantiKhaling	big	big	ghoɔ̄lpɛ	gʰ oɔ̄ l p ɛ	gʰ oɔ̄ l p ɛ			大	416		大	
563	KirantiLimbu	big	big	yɔmba	j ɔ m b a	j ɔ m b a			大	417		大	
578	rGyalrongJaphug	big	big	wxti	w x t i	- - w x t - i - ( - - - - - )			大	29701		大	
38328	Karbi		big	thè	th è		from :cite:Konnerth2014<br>:cite:Walker1925 entry: «the(dung)» (page: 206)			29701			
33404	TibetoKinauriRongpo	big	big	tuŋtə	t u ŋ t ə	t u ŋ t ə				465			
17148	BodicTshangla	big / large	big	tɕhi lo	tɕh i _ l o	- - - - tɕh i - - ( _ - - l o )		tib[tɕʰe]		29857			
33635	KirantiKulung	big, fat (adj.)	big	depa	d e p a	- - - - d - e - ( p a - - - )	Nepali: ṭhūlo, moṭo. (Tolsma1999)			29701			
34193	BurmishAchang	big	big	kʐə³¹	k ʐ ə ³¹	k ʐ ə - ³¹				909	86		big
34197	BurmishLashi	big	big	kjiː³³	k j iː ³³	k j iː - ³³				909	86		big
34198	BurmishMaru	big	big	ɣə³⁵	ɣ ə ³⁵	ɣ - ə - ³⁵				909	86		big
34199	BurmishXiandao	big	big	kɯ³¹	k ɯ ³¹	k - ɯ - ³¹				909	86		big
17996	rGyalrongMaerkang	big / large	big	kə ktᴇ	k ə _ k t ᴇ	k ə _ k t - ᴇ - ( - - - - - )				29701			
18334	TibetanLhasa	big / large	big	tɕhẽ⁵⁵po⁵⁵	tɕʰ ẽ ∼ ⁵⁵ ◦ p o ⁵⁵	- - - - tɕʰ ẽ ∼ ⁵⁵ ( ◦ p o ⁵⁵ - )				412			
35587	BurmishRangoon		big	ʨi⁵⁵	tɕ i ⁵⁵	tɕ - i - ⁵⁵				909	86		big
19258	rGyalrongDaofu	big / large	big	gɛ cçhɛ	g ɛ + cçʰ ɛ	g ɛ + cçʰ ɛ				1349			
35904	MizoLushai	big	big	lian	l i a n	l i a n				1465			
19713	NungicDulong	big / large	big	tɑi⁵³	t ɑ i ⁵³	- - - - t ɑ i ⁵³ ( - - - - - )				29701			
36210	SiniticChaozhou		big	tua¹¹	t u a ¹¹	t u a - ¹¹ ( - - - )	expect l-	< post-Han		29946	18	大	big-18
36212	SiniticJieyang		big	tua¹¹	t u a ¹¹	t u a - ¹¹ ( - - - )	expect l-	< post-Han		29947	18	大	big-18
19952	TibetanBatang	big / large	big	tɕhɪ⁵³	tɕʰ ɪ ⁵³	- - - - tɕʰ ɪ - ⁵³ ( - - - - - )				412			
19953	TibetanBatang	big / large	big	tɕhɑu¹³	tɕʰ ɑ u ¹³	- - - - tɕʰ ɑ - - ( - u ¹³ - - )				412			
