ID	DOCULECT	GLOTTOCODE	CONCEPT	CONCEPTICON_ID	FORM	TOKENS	ASJP	DOLGO	SCA	COGNATE_CLASS	COGID
1	Adnyamathanha	adny1235	ABOVE		ara	a r a	a r a	V R V	A R A	ABOVE:18	18
2	Alyawarr	alya1239	ABOVE		erɹul	e r ɹ u l	e r r u l	V R R V R	E R R Y L	ABOVE:36	36
3	Alyawarr	alya1239	ABOVE		erɹuleŋ	e r ɹ u l e ŋ	e r r u l e N	V R R V R V N	E R R Y L E N	ABOVE:36	36
5	Arabana	arab1267	ABOVE		aɹata	a ɹ a t a	a r a t a	V R V T V	A R A T A	ABOVE:18	18
8	Yugambeh-Bandjalang	band1339	ABOVE		waj	w a j	w a y	W V J	W A J	ABOVE:42	42
14	Dhangu	dhan1270	ABOVE		garwaɹ	g a r w a ɹ	g a r w a r	K V R W V R	K A R W A R	ABOVE:56	56
16	Sydney	sydn1236	ABOVE		buɹawa	b u ɹ a w a	b u r a w a	P V R V W V	P Y R A W A	ABOVE:27	27
18	Dhuwal	dhuw1249	ABOVE		garwaɹ	g a r w a ɹ	g a r w a r	K V R W V R	K A R W A R	ABOVE:56	56
20	Dieri	dier1241	ABOVE		miɹi	m i ɹ i	m i r i	M V R V	M I R I	ABOVE:17	17
21	Dyaabugay	dyaa1242	ABOVE		waŋgaɹ	w a ŋ g a ɹ	w a N g a r	W V N K V R	W A N K A R	ABOVE:32	32
22	Djambarrpuyngu	djam1256	ABOVE		garwaɹ	g a r w a ɹ	g a r w a r	K V R W V R	K A R W A R	ABOVE:56	56
24	Djinang	djin1253	ABOVE		gurgi	g u r g i	g u r g i	K V R K V	K Y R K I	ABOVE:15	15
27	Gamilaraay	gami1243	ABOVE		ŋuriba	ŋ u r i b a	N u r i b a	N V R V P V	N Y R I P A	ABOVE:26	26
31	Kumbainggar	kumb1268	ABOVE		waɹu	w a ɹ u	w a r u	W V R V	W A R Y	ABOVE:13	13
35	Gupapuyngu	gupa1247	ABOVE		garwaɹ	g a r w a ɹ	g a r w a r	K V R W V R	K A R W A R	ABOVE:56	56
36	Gurindji	guri1247	ABOVE		kankula	k a n k u l a	k a n k u l a	K V N K V R V	K A N K Y L A	ABOVE:34	34
38	Guyani	guya1249	ABOVE		kaɹa	k a ɹ a	k a r a	K V R V	K A R A	ABOVE:18	18
39	Sydney	sydn1236	ABOVE		buɹawɔ	b u ɹ a w ɔ	b u r a w o	P V R V W V	P Y R A W U	ABOVE:1	1
40	Jaru	jaru1254	ABOVE		gaŋani	g a ŋ a n i	g a N a n i	K V N V N V	K A N A N I	ABOVE:34	34
41	Jaru	jaru1254	ABOVE		gaŋanimaɹaŋo	g a ŋ a n i m a ɹ a ŋ o	g a N a n i m a r a N o	K V N V N V M V R V N V	K A N A N I M A R A N U	ABOVE:34	34
43	Djiwarli	djiw1241	ABOVE		jiraɹa	j i r a ɹ a	y i r a r a	J V R V R V	J I R A R A	ABOVE:31	31
44	Kalkutung	kalk1246	ABOVE		pirin̪a	p i r i n̪ a	p i r i n a	P V R V N V	P I R I N A	ABOVE:30	30
45	Gamilaraay	gami1243	ABOVE		ŋguriba	ŋ g u r i b a	N g u r i b a	N K V R V P V	N K Y R I P A	ABOVE:26	26
46	Karadjeri	kara1476	ABOVE		kantiŋka	k a n t i ŋ k a	k a n t i N k a	K V N T V N K V	K A N T I N K A	ABOVE:45	45
49	Kartujarra	kart1247	ABOVE		katuwanacanu	k a t u w a n a c a n u	k a t u w a n a T a n u	K V T V W V N V K V N V	K A T Y W A N A C A N Y	ABOVE:55	55
51	Kaurna	kaur1267	ABOVE		kara	k a r a	k a r a	K V R V	K A R A	ABOVE:18	18
53	Kukatja	kuka1246	ABOVE		gaŋaɹa	g a ŋ a ɹ a	g a N a r a	K V N V R V	K A N A R A	ABOVE:34	34
54	Kuku-Yalanji	kuku1273	ABOVE		waŋkaɹwaŋkaɹ	w a ŋ k a ɹ w a ŋ k a ɹ	w a N k a r w a N k a r	W V N K V R W V N K V R	W A N K A R W A N K A R	ABOVE:32	32
56	Gurdjar	gurd1238	ABOVE		ŋkaːɖ	ŋ k aː ɖ	N k a d	N K V T	N K A T	ABOVE:32	32
57	Gurdjar	gurd1238	ABOVE		ŋkaɖijaŋ	ŋ k a ɖ i j a ŋ	N k a d i y a N	N K V T V J V N	N K A T I J A N	ABOVE:32	32
59	Kala Lagaw Ya	kala1377	ABOVE		gimal	g i m a l	g i m a l	K V M V R	K I M A L	ABOVE:57	57
64	Martu Wangka	mart1256	ABOVE		kanka	k a n k a	k a n k a	K V N K V	K A N K A	ABOVE:34	34
68	Mudburra	mudb1240	ABOVE		dimbu	d i m b u	d i m b u	T V M P V	T I M P Y	ABOVE:23	23
70	Muruwari	muru1266	ABOVE		karanta	k a r a n t a	k a r a n t a	K V R V N T V	K A R A N T A	ABOVE:49	49
72	Ngaanyatjarra	ngaa1240	ABOVE		kankaɹara	k a n k a ɹ a r a	k a n k a r a r a	K V N K V R V R V	K A N K A R A R A	ABOVE:34	34
75	Ngamini	ngam1284	ABOVE		kuɹumu	k u ɹ u m u	k u r u m u	K V R V M V	K Y R Y M Y	ABOVE:24	24
77	Ngarinman	ngar1235	ABOVE		dalwir	d a l w i r	d a l w i r	T V R W V R	T A L W I R	ABOVE:1	1
79	Ngarluma	ngar1287	ABOVE		gankanmani	g a n k a n m a n i	g a n k a n m a n i	K V N K V N M V N V	K A N K A N M A N I	ABOVE:34	34
80	Narrinyeri	narr1259	ABOVE		t̪alwulda	t̪ a l w u l d a	t a l w u l d a	T V R W V R T V	T A L W Y L T A	ABOVE:25	25
85	Northern Coastal Nyangumarta	nort2754	ABOVE		kanka	k a n k a	k a n k a	K V N K V	K A N K A	ABOVE:34	34
86	Nyamal	nyam1271	ABOVE		kankaɭa	k a n k a ɭ a	k a n k a L a	K V N K V R V	K A N K A L A	ABOVE:34	34
87	Nyangumarta	nyan1301	ABOVE		kanka	k a n k a	k a n k a	K V N K V	K A N K A	ABOVE:34	34
88	Nyunga	nyun1247	ABOVE		jeaɹeɹ	j e a ɹ e ɹ	y e a r e r	J V V R V R	J E A R E R	ABOVE:1	1
91	Panytyima	pany1241	ABOVE		kankala	k a n k a l a	k a n k a l a	K V N K V R V	K A N K A L A	ABOVE:34	34
92	Banggarla	bang1339	ABOVE		kakːanːaɹa	k a kː a nː a ɹ a	k a k a n a r a	K V K V N V R V	K A K A N A R A	ABOVE:34	34
93	Bayungu	bayu1240	ABOVE		kankaɹa	k a n k a ɹ a	k a n k a r a	K V N K V R V	K A N K A R A	ABOVE:34	34
96	Pitjantjatjara	pitj1243	ABOVE		katu	k a t u	k a t u	K V T V	K A T Y	ABOVE:55	55
97	Pitta Pitta	pitt1247	ABOVE		jakiɭi_ŋalpa	j a k i ɭ i ŋ a l p a	y a k i L i N a l p a	J V K V R V N V R P V	J A K I L I N A L P A	ABOVE:40	40
99	Ritarungo	rita1239	ABOVE		garwaɹ	g a r w a ɹ	g a r w a r	K V R W V R	K A R W A R	ABOVE:56	56
100	Dhalandji	dhal1245	ABOVE		kankaɹa	k a n k a ɹ a	k a n k a r a	K V N K V R V	K A N K A R A	ABOVE:34	34
101	Dhargari	dhar1247	ABOVE		jiraɹa	j i r a ɹ a	y i r a r a	J V R V R V	J I R A R A	ABOVE:31	31
104	Wagaya	waga1260	ABOVE		jupantu	j u p a n t u	y u p a n t u	J V P V N T V	J Y P A N T Y	ABOVE:33	33
105	Wagaya	waga1260	ABOVE		kinkaɭ	k i n k a ɭ	k i n k a L	K V N K V R	K I N K A L	ABOVE:33	33
106	Wagaya	waga1260	ABOVE		cemantuɹu	c e m a n t u ɹ u	T e m a n t u r u	K V M V N T V R V	C E M A N T Y R Y	ABOVE:33	33
112	Ngura	ngur1261	ABOVE		piʈabada	p i ʈ a b a d a	p i t a b a d a	P V T V P V T V	P I T A P A T A	ABOVE:38	38
115	Warlpiri	warl1254	ABOVE		kankaɭaɳi	k a n k a ɭ a ɳ i	k a n k a L a n i	K V N K V R V N V	K A N K A L A N I	ABOVE:34	34
117	Wanman	wanm1242	ABOVE		kankaɳi	k a n k a ɳ i	k a n k a n i	K V N K V N V	K A N K A N I	ABOVE:34	34
118	Wariyangga	wari1262	ABOVE		jiraɹa	j i r a ɹ a	y i r a r a	J V R V R V	J I R A R A	ABOVE:1	1
119	Warumungu	waru1265	ABOVE		aʈtinci	a ʈ t i n c i	a t t i n T i	V T T V N K V	A T T I N C I	ABOVE:19	19
121	Wathawurrung	wath1238	ABOVE		kobaŋi	k o b a ŋ i	k o b a N i	K V P V N V	K U P A N I	ABOVE:47	47
122	Wathawurrung	wath1238	ABOVE		kombaba	k o m b a b a	k o m b a b a	K V M P V P V	K U M P A P A	ABOVE:47	47
124	Wik-Mungkan	wikm1247	ABOVE		woɲam	w o ɲ a m	w o H a m	W V N V M	W U N A M	ABOVE:1	1
125	Wiradhuri	wira1262	ABOVE		birabaŋ	b i r a b a ŋ	b i r a b a N	P V R V P V N	P I R A P A N	ABOVE:30	30
126	Wirangu-Nauo	wira1260	ABOVE		gaɖidja	g a ɖ i d j a	g a d i d y a	K V T V T J V	K A T I T J A	ABOVE:22	22
131	Yan-nhangu	yann1237	ABOVE		gaɳgija	g a ɳ g i j a	g a n g i y a	K V N K V J V	K A N K I J A	ABOVE:1	1
