ID	DOCULECT	ISO_CODE	CONCEPT	CONCEPTICON_ID	FORM	TOKENS	ASJP	DOLGO	SCA	COGNATE_CLASS	COGID
7629	ANCIENT_GREEK	grc	I		eɡɔ́ː	e ɡ ɔ́ː	e g o	V K V	E K U	I:A	1
7630	GREEK	ell	I		e̞ˈɣo̞	e̞ ˈɣ o̞	e x o	V K V	E G U	I:A	1
7634	OSSETIC_IRON	oss	I		ɐž	ɐ ž	a Z	V S	E S	I:A	1
7635	OSSETIC_DIGOR	oss	I		ɐz	ɐ z	a z	V S	E S	I:A	1
7637	ORIYA	ori	I		mũ	m ũ	m u	M V	M Y	I:A	1
7638	BIHARI	mai	I		mẽ	m ẽ	m e	M V	M E	I:A	1
7639	BIHARI	mai	I		həm	h ə m	h I m	H V M	H E M	I:A	1
7641	URDU	urd	I		mɛ̃	m ɛ̃	m E	M V	M E	I:A	1
7642	MARATHI	mar	I		mi:	m i:	m i	M V	M I	I:A	1
7643	OLD_CHURCH_SLAVONIC	chu	I		ɑzʊ̆	ɑ z ʊ̆	o z u	V S V	A S Y	I:A	1
7644	SERBO-CROATIAN	srp	I		jâː	j âː	y a	J V	J A	I:A	1
7645	BULGARIAN	bul	I		as	a s	a s	V S	A S	I:A	1
7646	MACEDONIAN	mkd	I		jas	j a s	y a s	J V S	J A S	I:A	1
7647	RUSSIAN	rus	I		ja	j a	y a	J V	J A	I:A	1
7648	POLISH	pol	I		ja	j a	y a	J V	J A	I:A	1
7649	BELARUSIAN	bel	I		ja	j a	y a	J V	J A	I:A	1
7650	UKRAINIAN	ukr	I		ja	j a	y a	J V	J A	I:A	1
7651	SLOVAK	slk	I		ja	j a	y a	J V	J A	I:A	1
7652	CZECH	ces	I		jaː	j aː	y a	J V	J A	I:A	1
7653	SORBIAN_UPPER	hsb	I		ja	j a	y a	J V	J A	I:A	1
7654	SORBIAN_LOWER	dsb	I		ja	j a	y a	J V	J A	I:A	1
7655	SLOVENIAN	slv	I		jas	j a s	y a s	J V S	J A S	I:A	1
7656	OLD_NORSE	non	I		ek	e k	e k	V K	E K	I:A	1
7657	ICELANDIC	isl	I		jɛɣ	j ɛ ɣ	y E x	J V K	J E G	I:A	1
7658	FAROESE	fao	I		e:	e:	e	V	E	I:A	1
